Inovacoes;Codigo;Produto
TOSTITOS;6049;TOSTITOS REDONDO SAL MARINHO 260G
TOSTITOS;6051;TOSTITOS REDONDO SAL MARINHO 110G
TOSTITOS;6050;TOSTITOS REDONDO PIMENTA MEXICANA 110G
TOSTITOS;6048;TOSTITOS REDONDO PIMENTA MEXICANA 260G
DORITOS K&M;6114;EC DORITOS MOSTARDA 110G
DORITOS K&M;6115;EC DORITOS KETCHUP 110G
DORITOS K&M;6116;EC DORITOS KETCHUP 37G
 CHEETOS CRUNCHY;6206;EC CHEETOS CRUNCHY SUPER CHEDDAR 160G
 CHEETOS CRUNCHY;6040;EC CHEETOS CRUNCHY WCHEESE 78G
 CHEETOS CRUNCHY;6039;EC CHEETOS CRUNCHY WCHEESE 48G
 CHEETOS CRUNCHY;6034;EC CHEETOS CRUNCHY SUPER CHEDDAR 78G
 CHEETOS CRUNCHY;6216;EC CHEETOS CRUNCHY MCHEDDAR 47G
DINAMITA;6035;EC DORITOS DIN PIMENTA MEX 60G
DINAMITA;6036;EC DORITOS DIN FLAMIN HOT 60G
PIMENTA MEX;4084;TORCIDA PIMENTA MEXICANA 100G
PIMENTA MEX;6175;TORCIDA PIMENTA MEXICANA 210G
PIMENTA MEX;5956;TORCIDA PIMENTA MEXICANA 60G
PIMENTA MEX;6224;EC RUFFLES PIM MEX 65G
PIMENTA MEX;6225;EC RUFFLES PIM MEX 110G
PIMENTA MEX;6227;EC RUFFLES PIM MEX 30G
PIMENTA MEX;6229;EC CHEETOS CRUNCHY PIM MEX 120G
PIMENTA MEX;6228;EC CHEETOS CRUNCHY PIM MEX 47G
PIMENTA MEX;5980;TORCIDA JR PIMENTA MEXICANA 35G
